Date,locationID,Latitude,Longitude
12/31/2015,55AK,61.4958,149.6994
12/31/2015,AZ17,31.5022,109.3911
12/31/2015,CL33,33.3106,116.9981
12/31/2015,IAD,38.9475,77.46
12/31/2015,X59,27.9608,80.5583
12/31/2015,EFW,42.0106,94.3422
12/31/2015,LL45,39.1822,89.8217
12/31/2015,3II1,39.4167,86.6358
12/31/2015,MHK,39.1411,96.6708
12/31/2015,ASD,30.3464,89.8208
12/31/2015,3GM,43.0342,86.1981
12/31/2015,23MN,43.6411,92.0222
12/31/2015,09M,33.9914,90.0781
12/31/2015,NC49,35.5278,77.1967
12/31/2015,09NE,41.3333,96.1936
12/31/2015,2Q9,37.6097,118.0064
12/31/2015,93OH,41.0444,81.1858
12/31/2015,OK62,34.2486,97.2092
12/31/2015,60OR,43.4264,123.2797
12/31/2015,PS61,41.6908,79.3658
12/31/2015,MEM,35.0425,89.9767
12/31/2015,0TA3,30.3044,102.1383
12/31/2015,JWY,32.4561,96.9128
12/31/2015,4XS8,29.9669,98.1169
12/31/2015,WN24,46.2925,122.9503
12/31/2015,0WI5,42.7933,87.8906
